"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.949593917E0,5.068878174E0,3.663702774E1,-8.130523682E0,3.786912651E1
1.959603917E0,5.068878174E0,3.663702774E1,-8.130523682E0,3.786912651E1
1.969612917E0,7.746475220E0,4.312327957E1,-5.862609863E0,4.420401920E1
1.979622917E0,7.746475220E0,4.312327957E1,-5.862609863E0,4.420401920E1
1.989632917E0,7.977447510E0,4.332795334E1,-5.636108398E0,4.441527808E1
1.999642917E0,7.977447510E0,4.332795334E1,-5.636108398E0,4.441527808E1
2.009651917E0,8.018737793E0,4.356206512E1,-5.839538574E0,4.467721885E1
2.019661917E0,8.018737793E0,4.356206512E1,-5.839538574E0,4.467721885E1
2.029671917E0,8.007316589E0,4.380783081E1,-5.831665039E0,4.491382278E1
2.039681917E0,8.007316589E0,4.380783081E1,-5.831665039E0,4.491382278E1
2.049690917E0,8.088020325E0,4.408079910E1,-5.797210693E0,4.519004950E1
2.059700917E0,8.088020325E0,4.408079910E1,-5.797210693E0,4.519004950E1
2.069679917E0,8.079902649E0,4.385052109E1,-5.638244629E0,4.494377408E1
2.079689917E0,8.079902649E0,4.385052109E1,-5.638244629E0,4.494377408E1
2.089699917E0,7.863723755E0,4.375795364E1,-5.784851074E0,4.483370563E1
2.099709917E0,7.863723755E0,4.375795364E1,-5.784851074E0,4.483370563E1
2.109719917E0,7.910057068E0,4.357437897E1,-5.758148193E0,4.465928544E1
2.119728917E0,7.910057068E0,4.357437897E1,-5.758148193E0,4.465928544E1
2.129738917E0,7.868850708E0,4.367868042E1,-5.734222412E0,4.475072336E1
2.139748917E0,7.868850708E0,4.367868042E1,-5.734222412E0,4.475072336E1
2.149758917E0,7.979255676E0,4.353207397E1,-5.879882812E0,4.464619813E1
2.159767917E0,8.034713745E0,4.353583908E1,-5.827636719E0,4.465296473E1
2.169777917E0,8.034713745E0,4.353583908E1,-5.827636719E0,4.465296473E1
2.179787917E0,7.863204956E0,4.385926437E1,-5.669372559E0,4.491777876E1
2.189797917E0,7.863204956E0,4.385926437E1,-5.669372559E0,4.491777876E1
2.199806917E0,7.765258789E0,4.369540024E1,-5.659881592E0,4.473948486E1
2.209813292E0,7.765258789E0,4.369540024E1,-5.659881592E0,4.473948486E1
2.219823292E0,8.586044312E-1,2.513882828E1,-1.130493164E1,2.757715301E1
2.229833292E0,8.586044312E-1,2.513882828E1,-1.130493164E1,2.757715301E1
2.239842292E0,-1.503860474E0,1.832281494E1,-1.333862305E1,2.271356442E1
2.249852292E0,-1.503860474E0,1.832281494E1,-1.333862305E1,2.271356442E1
2.259862292E0,-1.615219116E0,1.803278160E1,-1.352557373E1,2.259936481E1
2.269841292E0,-1.615219116E0,1.803278160E1,-1.352557373E1,2.259936481E1
2.279851292E0,-1.775131226E0,1.806713676E1,-1.359716797E1,2.268161146E1
2.289861292E0,-1.775131226E0,1.806713676E1,-1.359716797E1,2.268161146E1
2.299871292E0,-1.618110657E0,1.789083672E1,-1.360449219E1,2.253403045E1
2.309880292E0,-1.618110657E0,1.789083672E1,-1.360449219E1,2.253403045E1
2.319890292E0,-1.828384399E0,1.827763748E1,-1.337823486E1,2.272426433E1
2.329900292E0,-1.828384399E0,1.827763748E1,-1.337823486E1,2.272426433E1
2.339910292E0,-1.824111938E0,1.787434387E1,-1.348458862E1,2.246449829E1
2.349919292E0,-1.824111938E0,1.787434387E1,-1.348458862E1,2.246449829E1
2.359929292E0,-1.759361267E0,1.783666992E1,-1.350195312E1,2.243980580E1
2.369939292E0,-1.759361267E0,1.783666992E1,-1.350195312E1,2.243980580E1
2.379949292E0,-1.656364441E0,1.777581787E1,-1.366790771E1,2.248410428E1
2.389958292E0,-1.656364441E0,1.777581787E1,-1.366790771E1,2.248410428E1
2.399968292E0,-1.704376221E0,1.811203003E1,-1.369110107E1,2.276832841E1
2.409978292E0,-1.704376221E0,1.811203003E1,-1.369110107E1,2.276832841E1
2.419988292E0,-1.882926941E0,1.793228149E1,-1.360653687E1,2.258871353E1
2.429997292E0,-1.882926941E0,1.793228149E1,-1.360653687E1,2.258871353E1
2.440007292E0,-1.864578247E0,1.803820801E1,-1.363467407E1,2.268827753E1
2.450017292E0,-1.864578247E0,1.803820801E1,-1.363467407E1,2.268827753E1
2.460027292E0,-1.890396118E0,1.779070091E1,-1.346560669E1,2.239207896E1
2.470037292E0,-1.890396118E0,1.779070091E1,-1.346560669E1,2.239207896E1
2.480016292E0,-1.796371460E0,1.769551849E1,-1.351193237E1,2.233675540E1
2.490026292E0,5.993309021E0,3.907913208E1,-7.203979492E0,4.018700832E1
2.500035292E0,5.993309021E0,3.907913208E1,-7.203979492E0,4.018700832E1
2.510045292E0,9.047882080E0,4.721539307E1,-4.855957031E0,4.831912490E1
2.520055292E0,9.047882080E0,4.721539307E1,-4.855957031E0,4.831912490E1
2.530065292E0,9.304733276E0,4.759018326E1,-4.606536865E0,4.870958618E1
2.540074292E0,9.304733276E0,4.759018326E1,-4.606536865E0,4.870958618E1
2.550084292E0,9.118560791E0,4.778677368E1,-4.490478516E0,4.885579072E1
2.560094292E0,9.118560791E0,4.778677368E1,-4.490478516E0,4.885579072E1
2.570104292E0,9.287506104E0,4.769736099E1,-4.453613281E0,4.879683070E1
2.580113292E0,9.287506104E0,4.769736099E1,-4.453613281E0,4.879683070E1
2.590123292E0,9.582977295E0,4.766582870E1,-4.518951416E0,4.882914705E1
2.600133292E0,9.582977295E0,4.766582870E1,-4.518951416E0,4.882914705E1
2.610143292E0,9.545394897E0,4.770195007E1,-4.442352295E0,4.885002660E1
2.620153292E0,9.545394897E0,4.770195007E1,-4.442352295E0,4.885002660E1
2.630162292E0,9.465164185E0,4.778737640E1,-4.692932129E0,4.894125344E1
2.640172292E0,9.465164185E0,4.778737640E1,-4.692932129E0,4.894125344E1
2.650182292E0,9.381187439E0,4.786808014E1,-4.555236816E0,4.899091708E1
2.660192292E0,9.381187439E0,4.786808014E1,-4.555236816E0,4.899091708E1
2.670201292E0,9.445182800E0,4.770986557E1,-4.512420654E0,4.884469972E1
2.680211292E0,9.445182800E0,4.770986557E1,-4.512420654E0,4.884469972E1
