"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.822561667E0,-2.613079071E0,2.477861786E1,-1.783047485E1,3.063876497E1
2.832571667E0,-2.613079071E0,2.477861786E1,-1.783047485E1,3.063876497E1
2.842580667E0,-2.928050995E0,2.471347809E1,-1.796597290E1,3.069373982E1
2.852590667E0,-2.928050995E0,2.471347809E1,-1.796597290E1,3.069373982E1
2.862600667E0,-2.962795258E0,2.457874680E1,-1.809661865E1,3.066562500E1
2.872610667E0,-2.962795258E0,2.457874680E1,-1.809661865E1,3.066562500E1
2.882619667E0,-2.427993774E0,2.479980469E1,-1.771017456E1,3.057083167E1
2.892599667E0,-2.427993774E0,2.479980469E1,-1.771017456E1,3.057083167E1
2.902608667E0,-2.234268188E0,2.498794556E1,-1.764392090E1,3.067078940E1
2.912618667E0,-2.234268188E0,2.498794556E1,-1.764392090E1,3.067078940E1
2.922628667E0,-2.300559998E0,2.512735748E1,-1.745675659E1,3.068248720E1
2.932638667E0,-2.300559998E0,2.512735748E1,-1.745675659E1,3.068248720E1
2.942647667E0,-2.261520386E0,2.532466125E1,-1.752880859E1,3.088222908E1
2.952657667E0,-2.261520386E0,2.532466125E1,-1.752880859E1,3.088222908E1
2.962667667E0,-2.349113464E0,2.536828995E1,-1.764242554E1,3.098908917E1
2.972677667E0,-2.349113464E0,2.536828995E1,-1.764242554E1,3.098908917E1
2.982656667E0,-2.221626282E0,2.548585892E1,-1.770166016E1,3.110969946E1
2.992666667E0,-2.221626282E0,2.548585892E1,-1.770166016E1,3.110969946E1
3.002676667E0,-2.446182251E0,2.486153030E1,-1.759143066E1,3.055385294E1
3.012685667E0,-2.446182251E0,2.486153030E1,-1.759143066E1,3.055385294E1
3.022695667E0,-2.849678040E0,2.437659073E1,-1.805682373E1,3.046945559E1
3.032705667E0,-2.849678040E0,2.437659073E1,-1.805682373E1,3.046945559E1
3.042715667E0,-3.005275726E0,2.474261093E1,-1.801416016E1,3.075286075E1
3.052724667E0,-3.005275726E0,2.474261093E1,-1.801416016E1,3.075286075E1
3.062704667E0,-2.925678253E0,2.459689331E1,-1.810974121E1,3.068435237E1
3.072713667E0,-2.925678253E0,2.459689331E1,-1.810974121E1,3.068435237E1
3.082723667E0,-2.599063873E0,2.536331558E1,-1.770983887E1,3.104337776E1
3.092733667E0,-2.599063873E0,2.536331558E1,-1.770983887E1,3.104337776E1
3.102743667E0,-2.149490356E0,2.541608810E1,-1.763934326E1,3.101200210E1
3.112752667E0,-2.149490356E0,2.541608810E1,-1.763934326E1,3.101200210E1
3.122762667E0,-2.264183044E0,2.507500839E1,-1.772961426E1,3.079321017E1
3.132772667E0,-2.264183044E0,2.507500839E1,-1.772961426E1,3.079321017E1
3.142782667E0,5.566909790E0,3.328992844E1,-1.188095093E1,3.578221367E1
3.152761667E0,8.593719482E0,3.583724594E1,-9.888092041E0,3.815671075E1
3.162771667E0,8.593719482E0,3.583724594E1,-9.888092041E0,3.815671075E1
3.172781667E0,8.641174316E0,3.603524017E1,-9.810333252E0,3.833341971E1
3.182790667E0,8.641174316E0,3.603524017E1,-9.810333252E0,3.833341971E1
3.192800667E0,8.706451416E0,3.656871796E1,-9.995361328E0,3.889705230E1
3.202810667E0,8.706451416E0,3.656871796E1,-9.995361328E0,3.889705230E1
3.212820667E0,8.902511597E0,3.668887711E1,-9.603546143E0,3.895582774E1
3.222829667E0,8.902511597E0,3.668887711E1,-9.603546143E0,3.895582774E1
3.232839667E0,9.052192688E0,3.667863846E1,-9.537048340E0,3.896434271E1
3.242818667E0,9.052192688E0,3.667863846E1,-9.537048340E0,3.896434271E1
3.252828667E0,9.053756714E0,3.667465210E1,-9.539550781E0,3.896156627E1
3.262838667E0,9.053756714E0,3.667465210E1,-9.539550781E0,3.896156627E1
3.272848667E0,8.557121277E0,3.621583557E1,-9.914794922E0,3.851122212E1
3.282857667E0,8.557121277E0,3.621583557E1,-9.914794922E0,3.851122212E1
3.292867667E0,8.447532654E0,3.636462021E1,-9.778076172E0,3.859219072E1
3.302877667E0,8.447532654E0,3.636462021E1,-9.778076172E0,3.859219072E1
3.312887667E0,8.348693848E0,3.647225189E1,-9.547180176E0,3.861443378E1
3.322897667E0,8.348693848E0,3.647225189E1,-9.547180176E0,3.861443378E1
3.332876667E0,8.579872131E0,3.618462753E1,-9.674041748E0,3.842562373E1
3.342886667E0,8.579872131E0,3.618462753E1,-9.674041748E0,3.842562373E1
3.352895667E0,8.567657471E0,3.606451035E1,-9.781738281E0,3.833713689E1
3.362905667E0,8.567657471E0,3.606451035E1,-9.781738281E0,3.833713689E1
3.372915667E0,8.792221069E0,3.638272476E1,-9.598052979E0,3.864102009E1
3.382925667E0,8.792221069E0,3.638272476E1,-9.598052979E0,3.864102009E1
3.392934667E0,8.793373108E0,3.653252029E1,-9.437774658E0,3.874299989E1
3.402944667E0,8.793373108E0,3.653252029E1,-9.437774658E0,3.874299989E1
3.412954667E0,8.800003052E0,3.702817535E1,-9.516937256E0,3.923133847E1
3.422906292E0,8.800003052E0,3.702817535E1,-9.516937256E0,3.923133847E1
3.432916292E0,8.722198486E0,3.669161987E1,-9.427551270E0,3.887454744E1
3.442926292E0,8.722198486E0,3.669161987E1,-9.427551270E0,3.887454744E1
3.452935292E0,8.987380981E0,3.693235397E1,-9.347076416E0,3.914255516E1
3.462945292E0,8.987380981E0,3.693235397E1,-9.347076416E0,3.914255516E1
3.472955292E0,8.561271667E0,3.636378479E1,-9.660980225E0,3.858697650E1
3.482965292E0,8.561271667E0,3.636378479E1,-9.660980225E0,3.858697650E1
3.492974292E0,8.672126770E0,3.620182800E1,-9.853149414E0,3.850795615E1
3.502984292E0,8.672126770E0,3.620182800E1,-9.853149414E0,3.850795615E1
3.512964292E0,8.473846436E0,3.636531067E1,-9.633239746E0,3.856217319E1
3.522973292E0,-1.746459961E0,2.610653687E1,-1.699487305E1,3.119979326E1
3.532983292E0,-1.746459961E0,2.610653687E1,-1.699487305E1,3.119979326E1
3.542993292E0,-2.414665222E0,2.510699844E1,-1.754904175E1,3.072720041E1
3.553003292E0,-2.414665222E0,2.510699844E1,-1.754904175E1,3.072720041E1
3.563012292E0,-2.148094177E0,2.490714645E1,-1.743484497E1,3.047874788E1
3.573022292E0,-2.148094177E0,2.490714645E1,-1.743484497E1,3.047874788E1
3.583032292E0,-2.689765930E0,2.472152328E1,-1.780990601E1,3.058727360E1
3.593042292E0,-2.689765930E0,2.472152328E1,-1.780990601E1,3.058727360E1
3.603021292E0,-2.881168365E0,2.451337051E1,-1.797308350E1,3.053257597E1
3.613031292E0,-2.881168365E0,2.451337051E1,-1.797308350E1,3.053257597E1
3.623040292E0,-2.981983185E0,2.468754578E1,-1.802648926E1,3.071353863E1
3.633050292E0,-2.981983185E0,2.468754578E1,-1.802648926E1,3.071353863E1
3.643060292E0,-2.339981079E0,2.504668427E1,-1.769601440E1,3.075647623E1
3.653070292E0,-2.339981079E0,2.504668427E1,-1.769601440E1,3.075647623E1
3.663079292E0,-2.250915527E0,2.505687714E1,-1.749285889E1,3.064170075E1
3.673089292E0,-2.250915527E0,2.505687714E1,-1.749285889E1,3.064170075E1
3.683099292E0,-2.403846741E0,2.530083466E1,-1.748983765E1,3.085133926E1
3.693078292E0,-2.403846741E0,2.530083466E1,-1.748983765E1,3.085133926E1
3.703088292E0,-2.389656067E0,2.525685120E1,-1.767633057E1,3.092040832E1
3.713098292E0,-2.389656067E0,2.525685120E1,-1.767633057E1,3.092040832E1
3.723108292E0,-2.178489685E0,2.519704056E1,-1.739532471E1,3.069583020E1
3.733117292E0,-2.178489685E0,2.519704056E1,-1.739532471E1,3.069583020E1
3.743127292E0,-2.343780518E0,2.519488525E1,-1.749398804E1,3.076223606E1
3.753137292E0,-2.343780518E0,2.519488525E1,-1.749398804E1,3.076223606E1
3.763147292E0,-2.232368469E0,2.521190643E1,-1.756512451E1,3.080839649E1
3.773126292E0,-2.232368469E0,2.521190643E1,-1.756512451E1,3.080839649E1
3.783136292E0,-2.918323517E0,2.469915009E1,-1.787738037E1,3.062948508E1
3.793145292E0,-2.918323517E0,2.469915009E1,-1.787738037E1,3.062948508E1
3.803155292E0,-2.786689758E0,2.457398987E1,-1.794082642E1,3.055355741E1
3.813165292E0,-2.786689758E0,2.457398987E1,-1.794082642E1,3.055355741E1
3.823175292E0,-2.647556305E0,2.459223557E1,-1.794998169E1,3.056124093E1
3.833184292E0,-2.647556305E0,2.459223557E1,-1.794998169E1,3.056124093E1
3.843194292E0,-2.346923828E0,2.511780167E1,-1.774572754E1,3.084352214E1
3.853204292E0,-2.346923828E0,2.511780167E1,-1.774572754E1,3.084352214E1
3.863183292E0,-2.253334045E0,2.532529068E1,-1.762048340E1,3.093427383E1
3.873193292E0,-2.253334045E0,2.532529068E1,-1.762048340E1,3.093427383E1
3.883203292E0,-2.379463196E0,2.525626755E1,-1.734439087E1,3.073058395E1
3.893213292E0,-2.379463196E0,2.525626755E1,-1.734439087E1,3.073058395E1
3.903222292E0,5.482711792E0,3.321298981E1,-1.202099609E1,3.574447045E1
3.913232292E0,8.189918518E0,3.592980957E1,-9.786743164E0,3.812881224E1
3.923242292E0,8.189918518E0,3.592980957E1,-9.786743164E0,3.812881224E1
3.933252292E0,8.557884216E0,3.616603851E1,-9.721008301E0,3.841507160E1
3.943261292E0,8.557884216E0,3.616603851E1,-9.721008301E0,3.841507160E1
3.953241292E0,8.641189575E0,3.598025513E1,-9.736206055E0,3.826280994E1
3.963250292E0,8.641189575E0,3.598025513E1,-9.736206055E0,3.826280994E1
3.973260292E0,9.002380371E0,3.662907028E1,-9.457305908E0,3.888665937E1
3.983270292E0,9.002380371E0,3.662907028E1,-9.457305908E0,3.888665937E1
3.993280292E0,9.217895508E0,3.657413483E1,-9.471435547E0,3.888888051E1
4.003289292E0,9.217895508E0,3.657413483E1,-9.471435547E0,3.888888051E1
4.013299292E0,8.889778137E0,3.671039200E1,-9.399963379E0,3.892351921E1
4.023309292E0,8.889778137E0,3.671039200E1,-9.399963379E0,3.892351921E1
4.033319292E0,8.406806946E0,3.645134354E1,-9.559173584E0,3.861026610E1
4.043298292E0,8.406806946E0,3.645134354E1,-9.559173584E0,3.861026610E1
4.053308292E0,8.539649963E0,3.629807281E1,-9.572753906E0,3.849822501E1
4.063318292E0,8.539649963E0,3.629807281E1,-9.572753906E0,3.849822501E1
4.073327292E0,8.564689636E0,3.612883377E1,-9.683837891E0,3.837216771E1
4.083337292E0,8.564689636E0,3.612883377E1,-9.683837891E0,3.837216771E1
4.093347292E0,8.609680176E0,3.621063995E1,-9.758270264E0,3.847805709E1
4.103357292E0,8.609680176E0,3.621063995E1,-9.758270264E0,3.847805709E1
4.113366292E0,8.311042786E0,3.638745499E1,-9.677520752E0,3.855871783E1
4.123376292E0,8.311042786E0,3.638745499E1,-9.677520752E0,3.855871783E1
4.133355292E0,8.373908997E0,3.635404968E1,-9.797790527E0,3.857118068E1
4.143365292E0,8.373908997E0,3.635404968E1,-9.797790527E0,3.857118068E1
4.153375292E0,8.930191040E0,3.653902817E1,-9.275146484E0,3.874115685E1
4.163385292E0,8.930191040E0,3.653902817E1,-9.275146484E0,3.874115685E1
4.173394292E0,8.985771179E0,3.657678223E1,-9.257965088E0,3.878549986E1
4.183404292E0,8.985771179E0,3.657678223E1,-9.257965088E0,3.878549986E1
4.193414292E0,9.027114868E0,3.647637177E1,-9.410034180E0,3.873710422E1
4.203424292E0,9.027114868E0,3.647637177E1,-9.410034180E0,3.873710422E1
4.213433292E0,8.647270203E0,3.675718689E1,-9.579010010E0,3.895668752E1
